 ,England and Wales,Age (6 categories) Code,Age (6 categories),Ethnic group (20 categories) Code,Ethnic group (20 categories),Year of arrival in the UK (11 categories) Code,Year of arrival in the UK (11 categories),Observation
K04000001,England and Wales,3,Aged 25 to 34 years,-8,Does not apply,4,Arrived 1981 to 1990,0
K04000001,England and Wales,3,Aged 25 to 34 years,-8,Does not apply,5,Arrived 1991 to 2000,0
K04000001,England and Wales,3,Aged 25 to 34 years,-8,Does not apply,6,Arrived 2001 to 2010,0
K04000001,England and Wales,3,Aged 25 to 34 years,-8,Does not apply,7,Arrived 2011 to 2013,0
K04000001,England and Wales,3,Aged 25 to 34 years,-8,Does not apply,8,Arrived 2014 to 2016,0
K04000001,England and Wales,3,Aged 25 to 34 years,-8,Does not apply,9,Arrived 2017 to 2019,0
K04000001,England and Wales,3,Aged 25 to 34 years,-8,Does not apply,10,Arrived 2020 to 2021,0
K04000001,England and Wales,3,Aged 25 to 34 years,1,"Asian, Asian British or Asian Welsh: Bangladeshi",-8,Does not apply,0
K04000001,England and Wales,3,Aged 25 to 34 years,1,"Asian, Asian British or Asian Welsh: Bangladeshi",1,Born in the UK,58257
K04000001,England and Wales,3,Aged 25 to 34 years,1,"Asian, Asian British or Asian Welsh: Bangladeshi",2,Arrived before 1971,0
K04000001,England and Wales,3,Aged 25 to 34 years,1,"Asian, Asian British or Asian Welsh: Bangladeshi",3,Arrived 1971 to 1980,0
K04000001,England and Wales,3,Aged 25 to 34 years,1,"Asian, Asian British or Asian Welsh: Bangladeshi",4,Arrived 1981 to 1990,2322
K04000001,England and Wales,3,Aged 25 to 34 years,1,"Asian, Asian British or Asian Welsh: Bangladeshi",5,Arrived 1991 to 2000,5306
K04000001,England and Wales,3,Aged 25 to 34 years,1,"Asian, Asian British or Asian Welsh: Bangladeshi",6,Arrived 2001 to 2010,14473
K04000001,England and Wales,3,Aged 25 to 34 years,1,"Asian, Asian British or Asian Welsh: Bangladeshi",7,Arrived 2011 to 2013,5495
K04000001,England and Wales,3,Aged 25 to 34 years,1,"Asian, Asian British or Asian Welsh: Bangladeshi",8,Arrived 2014 to 2016,5951
K04000001,England and Wales,3,Aged 25 to 34 years,1,"Asian, Asian British or Asian Welsh: Bangladeshi",9,Arrived 2017 to 2019,7758
K04000001,England and Wales,3,Aged 25 to 34 years,1,"Asian, Asian British or Asian Welsh: Bangladeshi",10,Arrived 2020 to 2021,3881
K04000001,England and Wales,3,Aged 25 to 34 years,2,"Asian, Asian British or Asian Welsh: Chinese",-8,Does not apply,0
K04000001,England and Wales,3,Aged 25 to 34 years,2,"Asian, Asian British or Asian Welsh: Chinese",1,Born in the UK,19317
K04000001,England and Wales,3,Aged 25 to 34 years,2,"Asian, Asian British or Asian Welsh: Chinese",2,Arrived before 1971,0
K04000001,England and Wales,3,Aged 25 to 34 years,2,"Asian, Asian British or Asian Welsh: Chinese",3,Arrived 1971 to 1980,0
K04000001,England and Wales,3,Aged 25 to 34 years,2,"Asian, Asian British or Asian Welsh: Chinese",4,Arrived 1981 to 1990,321
K04000001,England and Wales,3,Aged 25 to 34 years,2,"Asian, Asian British or Asian Welsh: Chinese",5,Arrived 1991 to 2000,3127
K04000001,England and Wales,3,Aged 25 to 34 years,2,"Asian, Asian British or Asian Welsh: Chinese",6,Arrived 2001 to 2010,14319
K04000001,England and Wales,3,Aged 25 to 34 years,2,"Asian, Asian British or Asian Welsh: Chinese",7,Arrived 2011 to 2013,6627
K04000001,England and Wales,3,Aged 25 to 34 years,2,"Asian, Asian British or Asian Welsh: Chinese",8,Arrived 2014 to 2016,8212
K04000001,England and Wales,3,Aged 25 to 34 years,2,"Asian, Asian British or Asian Welsh: Chinese",9,Arrived 2017 to 2019,17323
K04000001,England and Wales,3,Aged 25 to 34 years,2,"Asian, Asian British or Asian Welsh: Chinese",10,Arrived 2020 to 2021,13156
K04000001,England and Wales,3,Aged 25 to 34 years,3,"Asian, Asian British or Asian Welsh: Indian",-8,Does not apply,0
K04000001,England and Wales,3,Aged 25 to 34 years,3,"Asian, Asian British or Asian Welsh: Indian",1,Born in the UK,138936
K04000001,England and Wales,3,Aged 25 to 34 years,3,"Asian, Asian British or Asian Welsh: Indian",2,Arrived before 1971,0
K04000001,England and Wales,3,Aged 25 to 34 years,3,"Asian, Asian British or Asian Welsh: Indian",3,Arrived 1971 to 1980,0
K04000001,England and Wales,3,Aged 25 to 34 years,3,"Asian, Asian British or Asian Welsh: Indian",4,Arrived 1981 to 1990,1068
K04000001,England and Wales,3,Aged 25 to 34 years,3,"Asian, Asian British or Asian Welsh: Indian",5,Arrived 1991 to 2000,7367
K04000001,England and Wales,3,Aged 25 to 34 years,3,"Asian, Asian British or Asian Welsh: Indian",6,Arrived 2001 to 2010,29579
K04000001,England and Wales,3,Aged 25 to 34 years,3,"Asian, Asian British or Asian Welsh: Indian",7,Arrived 2011 to 2013,16298
K04000001,England and Wales,3,Aged 25 to 34 years,3,"Asian, Asian British or Asian Welsh: Indian",8,Arrived 2014 to 2016,23148
K04000001,England and Wales,3,Aged 25 to 34 years,3,"Asian, Asian British or Asian Welsh: Indian",9,Arrived 2017 to 2019,51995
K04000001,England and Wales,3,Aged 25 to 34 years,3,"Asian, Asian British or Asian Welsh: Indian",10,Arrived 2020 to 2021,35669
K04000001,England and Wales,3,Aged 25 to 34 years,4,"Asian, Asian British or Asian Welsh: Pakistani",-8,Does not apply,0
K04000001,England and Wales,3,Aged 25 to 34 years,4,"Asian, Asian British or Asian Welsh: Pakistani",1,Born in the UK,141250
K04000001,England and Wales,3,Aged 25 to 34 years,4,"Asian, Asian British or Asian Welsh: Pakistani",2,Arrived before 1971,0
K04000001,England and Wales,3,Aged 25 to 34 years,4,"Asian, Asian British or Asian Welsh: Pakistani",3,Arrived 1971 to 1980,0
K04000001,England and Wales,3,Aged 25 to 34 years,4,"Asian, Asian British or Asian Welsh: Pakistani",4,Arrived 1981 to 1990,2159
K04000001,England and Wales,3,Aged 25 to 34 years,4,"Asian, Asian British or Asian Welsh: Pakistani",5,Arrived 1991 to 2000,10937
K04000001,England and Wales,3,Aged 25 to 34 years,4,"Asian, Asian British or Asian Welsh: Pakistani",6,Arrived 2001 to 2010,29271
K04000001,England and Wales,3,Aged 25 to 34 years,4,"Asian, Asian British or Asian Welsh: Pakistani",7,Arrived 2011 to 2013,17523
K04000001,England and Wales,3,Aged 25 to 34 years,4,"Asian, Asian British or Asian Welsh: Pakistani",8,Arrived 2014 to 2016,15582
K04000001,England and Wales,3,Aged 25 to 34 years,4,"Asian, Asian British or Asian Welsh: Pakistani",9,Arrived 2017 to 2019,23644
K04000001,England and Wales,3,Aged 25 to 34 years,4,"Asian, Asian British or Asian Welsh: Pakistani",10,Arrived 2020 to 2021,10477
K04000001,England and Wales,3,Aged 25 to 34 years,5,"Asian, Asian British or Asian Welsh: Other Asian",-8,Does not apply,0
K04000001,England and Wales,3,Aged 25 to 34 years,5,"Asian, Asian British or Asian Welsh: Other Asian",1,Born in the UK,28177
K04000001,England and Wales,3,Aged 25 to 34 years,5,"Asian, Asian British or Asian Welsh: Other Asian",2,Arrived before 1971,0
K04000001,England and Wales,3,Aged 25 to 34 years,5,"Asian, Asian British or Asian Welsh: Other Asian",3,Arrived 1971 to 1980,0
K04000001,England and Wales,3,Aged 25 to 34 years,5,"Asian, Asian British or Asian Welsh: Other Asian",4,Arrived 1981 to 1990,864
K04000001,England and Wales,3,Aged 25 to 34 years,5,"Asian, Asian British or Asian Welsh: Other Asian",5,Arrived 1991 to 2000,9417
K04000001,England and Wales,3,Aged 25 to 34 years,5,"Asian, Asian British or Asian Welsh: Other Asian",6,Arrived 2001 to 2010,43966
K04000001,England and Wales,3,Aged 25 to 34 years,5,"Asian, Asian British or Asian Welsh: Other Asian",7,Arrived 2011 to 2013,13337
K04000001,England and Wales,3,Aged 25 to 34 years,5,"Asian, Asian British or Asian Welsh: Other Asian",8,Arrived 2014 to 2016,18490
K04000001,England and Wales,3,Aged 25 to 34 years,5,"Asian, Asian British or Asian Welsh: Other Asian",9,Arrived 2017 to 2019,31704
K04000001,England and Wales,3,Aged 25 to 34 years,5,"Asian, Asian British or Asian Welsh: Other Asian",10,Arrived 2020 to 2021,15238
K04000001,England and Wales,3,Aged 25 to 34 years,6,"Black, Black British, Black Welsh, Caribbean or African: African",-8,Does not apply,0
K04000001,England and Wales,3,Aged 25 to 34 years,6,"Black, Black British, Black Welsh, Caribbean or African: African",1,Born in the UK,53450
K04000001,England and Wales,3,Aged 25 to 34 years,6,"Black, Black British, Black Welsh, Caribbean or African: African",2,Arrived before 1971,0
K04000001,England and Wales,3,Aged 25 to 34 years,6,"Black, Black British, Black Welsh, Caribbean or African: African",3,Arrived 1971 to 1980,0
K04000001,England and Wales,3,Aged 25 to 34 years,6,"Black, Black British, Black Welsh, Caribbean or African: African",4,Arrived 1981 to 1990,2498
K04000001,England and Wales,3,Aged 25 to 34 years,6,"Black, Black British, Black Welsh, Caribbean or African: African",5,Arrived 1991 to 2000,21993
K04000001,England and Wales,3,Aged 25 to 34 years,6,"Black, Black British, Black Welsh, Caribbean or African: African",6,Arrived 2001 to 2010,65616
K04000001,England and Wales,3,Aged 25 to 34 years,6,"Black, Black British, Black Welsh, Caribbean or African: African",7,Arrived 2011 to 2013,16349
K04000001,England and Wales,3,Aged 25 to 34 years,6,"Black, Black British, Black Welsh, Caribbean or African: African",8,Arrived 2014 to 2016,21228
K04000001,England and Wales,3,Aged 25 to 34 years,6,"Black, Black British, Black Welsh, Caribbean or African: African",9,Arrived 2017 to 2019,28793
K04000001,England and Wales,3,Aged 25 to 34 years,6,"Black, Black British, Black Welsh, Caribbean or African: African",10,Arrived 2020 to 2021,16231
K04000001,England and Wales,3,Aged 25 to 34 years,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",-8,Does not apply,0
K04000001,England and Wales,3,Aged 25 to 34 years,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",1,Born in the UK,64643
K04000001,England and Wales,3,Aged 25 to 34 years,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",2,Arrived before 1971,0
K04000001,England and Wales,3,Aged 25 to 34 years,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",3,Arrived 1971 to 1980,0
K04000001,England and Wales,3,Aged 25 to 34 years,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",4,Arrived 1981 to 1990,382
K04000001,England and Wales,3,Aged 25 to 34 years,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",5,Arrived 1991 to 2000,4921
K04000001,England and Wales,3,Aged 25 to 34 years,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",6,Arrived 2001 to 2010,7197
K04000001,England and Wales,3,Aged 25 to 34 years,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",7,Arrived 2011 to 2013,1428
K04000001,England and Wales,3,Aged 25 to 34 years,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",8,Arrived 2014 to 2016,2073
K04000001,England and Wales,3,Aged 25 to 34 years,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",9,Arrived 2017 to 2019,3570
K04000001,England and Wales,3,Aged 25 to 34 years,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",10,Arrived 2020 to 2021,1294
K04000001,England and Wales,3,Aged 25 to 34 years,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",-8,Does not apply,0
K04000001,England and Wales,3,Aged 25 to 34 years,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",1,Born in the UK,21448
K04000001,England and Wales,3,Aged 25 to 34 years,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",2,Arrived before 1971,0
K04000001,England and Wales,3,Aged 25 to 34 years,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",3,Arrived 1971 to 1980,0
K04000001,England and Wales,3,Aged 25 to 34 years,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",4,Arrived 1981 to 1990,191
K04000001,England and Wales,3,Aged 25 to 34 years,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",5,Arrived 1991 to 2000,1657
K04000001,England and Wales,3,Aged 25 to 34 years,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",6,Arrived 2001 to 2010,3456
K04000001,England and Wales,3,Aged 25 to 34 years,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",7,Arrived 2011 to 2013,697
K04000001,England and Wales,3,Aged 25 to 34 years,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",8,Arrived 2014 to 2016,781
K04000001,England and Wales,3,Aged 25 to 34 years,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",9,Arrived 2017 to 2019,1219
K04000001,England and Wales,3,Aged 25 to 34 years,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",10,Arrived 2020 to 2021,528
K04000001,England and Wales,3,Aged 25 to 34 years,9,Mixed or Multiple ethnic groups: White and Asian,-8,Does not apply,0
K04000001,England and Wales,3,Aged 25 to 34 years,9,Mixed or Multiple ethnic groups: White and Asian,1,Born in the UK,50097
K04000001,England and Wales,3,Aged 25 to 34 years,9,Mixed or Multiple ethnic groups: White and Asian,2,Arrived before 1971,0
K04000001,England and Wales,3,Aged 25 to 34 years,9,Mixed or Multiple ethnic groups: White and Asian,3,Arrived 1971 to 1980,0
K04000001,England and Wales,3,Aged 25 to 34 years,9,Mixed or Multiple ethnic groups: White and Asian,4,Arrived 1981 to 1990,483
K04000001,England and Wales,3,Aged 25 to 34 years,9,Mixed or Multiple ethnic groups: White and Asian,5,Arrived 1991 to 2000,2627
K04000001,England and Wales,3,Aged 25 to 34 years,9,Mixed or Multiple ethnic groups: White and Asian,6,Arrived 2001 to 2010,2862
K04000001,England and Wales,3,Aged 25 to 34 years,9,Mixed or Multiple ethnic groups: White and Asian,7,Arrived 2011 to 2013,1636
K04000001,England and Wales,3,Aged 25 to 34 years,9,Mixed or Multiple ethnic groups: White and Asian,8,Arrived 2014 to 2016,2484
K04000001,England and Wales,3,Aged 25 to 34 years,9,Mixed or Multiple ethnic groups: White and Asian,9,Arrived 2017 to 2019,3043
K04000001,England and Wales,3,Aged 25 to 34 years,9,Mixed or Multiple ethnic groups: White and Asian,10,Arrived 2020 to 2021,1273
K04000001,England and Wales,3,Aged 25 to 34 years,10,Mixed or Multiple ethnic groups: White and Black African,-8,Does not apply,0
K04000001,England and Wales,3,Aged 25 to 34 years,10,Mixed or Multiple ethnic groups: White and Black African,1,Born in the UK,15870
K04000001,England and Wales,3,Aged 25 to 34 years,10,Mixed or Multiple ethnic groups: White and Black African,2,Arrived before 1971,0
K04000001,England and Wales,3,Aged 25 to 34 years,10,Mixed or Multiple ethnic groups: White and Black African,3,Arrived 1971 to 1980,0
K04000001,England and Wales,3,Aged 25 to 34 years,10,Mixed or Multiple ethnic groups: White and Black African,4,Arrived 1981 to 1990,250
K04000001,England and Wales,3,Aged 25 to 34 years,10,Mixed or Multiple ethnic groups: White and Black African,5,Arrived 1991 to 2000,1931
K04000001,England and Wales,3,Aged 25 to 34 years,10,Mixed or Multiple ethnic groups: White and Black African,6,Arrived 2001 to 2010,3403
K04000001,England and Wales,3,Aged 25 to 34 years,10,Mixed or Multiple ethnic groups: White and Black African,7,Arrived 2011 to 2013,1460
K04000001,England and Wales,3,Aged 25 to 34 years,10,Mixed or Multiple ethnic groups: White and Black African,8,Arrived 2014 to 2016,2211
K04000001,England and Wales,3,Aged 25 to 34 years,10,Mixed or Multiple ethnic groups: White and Black African,9,Arrived 2017 to 2019,2821
K04000001,England and Wales,3,Aged 25 to 34 years,10,Mixed or Multiple ethnic groups: White and Black African,10,Arrived 2020 to 2021,1218
K04000001,England and Wales,3,Aged 25 to 34 years,11,Mixed or Multiple ethnic groups: White and Black Caribbean,-8,Does not apply,0
K04000001,England and Wales,3,Aged 25 to 34 years,11,Mixed or Multiple ethnic groups: White and Black Caribbean,1,Born in the UK,81926
K04000001,England and Wales,3,Aged 25 to 34 years,11,Mixed or Multiple ethnic groups: White and Black Caribbean,2,Arrived before 1971,0
K04000001,England and Wales,3,Aged 25 to 34 years,11,Mixed or Multiple ethnic groups: White and Black Caribbean,3,Arrived 1971 to 1980,0
K04000001,England and Wales,3,Aged 25 to 34 years,11,Mixed or Multiple ethnic groups: White and Black Caribbean,4,Arrived 1981 to 1990,177
K04000001,England and Wales,3,Aged 25 to 34 years,11,Mixed or Multiple ethnic groups: White and Black Caribbean,5,Arrived 1991 to 2000,702
K04000001,England and Wales,3,Aged 25 to 34 years,11,Mixed or Multiple ethnic groups: White and Black Caribbean,6,Arrived 2001 to 2010,841
K04000001,England and Wales,3,Aged 25 to 34 years,11,Mixed or Multiple ethnic groups: White and Black Caribbean,7,Arrived 2011 to 2013,653
K04000001,England and Wales,3,Aged 25 to 34 years,11,Mixed or Multiple ethnic groups: White and Black Caribbean,8,Arrived 2014 to 2016,1700
K04000001,England and Wales,3,Aged 25 to 34 years,11,Mixed or Multiple ethnic groups: White and Black Caribbean,9,Arrived 2017 to 2019,2438
K04000001,England and Wales,3,Aged 25 to 34 years,11,Mixed or Multiple ethnic groups: White and Black Caribbean,10,Arrived 2020 to 2021,919
K04000001,England and Wales,3,Aged 25 to 34 years,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,-8,Does not apply,0
K04000001,England and Wales,3,Aged 25 to 34 years,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,1,Born in the UK,43366
K04000001,England and Wales,3,Aged 25 to 34 years,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,2,Arrived before 1971,0
K04000001,England and Wales,3,Aged 25 to 34 years,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,3,Arrived 1971 to 1980,0
K04000001,England and Wales,3,Aged 25 to 34 years,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,4,Arrived 1981 to 1990,659
K04000001,England and Wales,3,Aged 25 to 34 years,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,5,Arrived 1991 to 2000,3529
K04000001,England and Wales,3,Aged 25 to 34 years,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,6,Arrived 2001 to 2010,5456
K04000001,England and Wales,3,Aged 25 to 34 years,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,7,Arrived 2011 to 2013,2980
K04000001,England and Wales,3,Aged 25 to 34 years,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,8,Arrived 2014 to 2016,5671
K04000001,England and Wales,3,Aged 25 to 34 years,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,9,Arrived 2017 to 2019,8236
K04000001,England and Wales,3,Aged 25 to 34 years,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,10,Arrived 2020 to 2021,3245
K04000001,England and Wales,3,Aged 25 to 34 years,13,"White: English, Welsh, Scottish, Northern Irish or British",-8,Does not apply,0
K04000001,England and Wales,3,Aged 25 to 34 years,13,"White: English, Welsh, Scottish, Northern Irish or British",1,Born in the UK,5201205
K04000001,England and Wales,3,Aged 25 to 34 years,13,"White: English, Welsh, Scottish, Northern Irish or British",2,Arrived before 1971,0
K04000001,England and Wales,3,Aged 25 to 34 years,13,"White: English, Welsh, Scottish, Northern Irish or British",3,Arrived 1971 to 1980,0
K04000001,England and Wales,3,Aged 25 to 34 years,13,"White: English, Welsh, Scottish, Northern Irish or British",4,Arrived 1981 to 1990,13650
K04000001,England and Wales,3,Aged 25 to 34 years,13,"White: English, Welsh, Scottish, Northern Irish or British",5,Arrived 1991 to 2000,45758
K04000001,England and Wales,3,Aged 25 to 34 years,13,"White: English, Welsh, Scottish, Northern Irish or British",6,Arrived 2001 to 2010,32421
K04000001,England and Wales,3,Aged 25 to 34 years,13,"White: English, Welsh, Scottish, Northern Irish or British",7,Arrived 2011 to 2013,19479
K04000001,England and Wales,3,Aged 25 to 34 years,13,"White: English, Welsh, Scottish, Northern Irish or British",8,Arrived 2014 to 2016,31555
K04000001,England and Wales,3,Aged 25 to 34 years,13,"White: English, Welsh, Scottish, Northern Irish or British",9,Arrived 2017 to 2019,29062
K04000001,England and Wales,3,Aged 25 to 34 years,13,"White: English, Welsh, Scottish, Northern Irish or British",10,Arrived 2020 to 2021,9750
K04000001,England and Wales,3,Aged 25 to 34 years,14,White: Irish,-8,Does not apply,0
K04000001,England and Wales,3,Aged 25 to 34 years,14,White: Irish,1,Born in the UK,29603
K04000001,England and Wales,3,Aged 25 to 34 years,14,White: Irish,2,Arrived before 1971,0
K04000001,England and Wales,3,Aged 25 to 34 years,14,White: Irish,3,Arrived 1971 to 1980,0
K04000001,England and Wales,3,Aged 25 to 34 years,14,White: Irish,4,Arrived 1981 to 1990,825
K04000001,England and Wales,3,Aged 25 to 34 years,14,White: Irish,5,Arrived 1991 to 2000,1921
K04000001,England and Wales,3,Aged 25 to 34 years,14,White: Irish,6,Arrived 2001 to 2010,3830
K04000001,England and Wales,3,Aged 25 to 34 years,14,White: Irish,7,Arrived 2011 to 2013,4995
K04000001,England and Wales,3,Aged 25 to 34 years,14,White: Irish,8,Arrived 2014 to 2016,7413
K04000001,England and Wales,3,Aged 25 to 34 years,14,White: Irish,9,Arrived 2017 to 2019,7231
K04000001,England and Wales,3,Aged 25 to 34 years,14,White: Irish,10,Arrived 2020 to 2021,2396
K04000001,England and Wales,3,Aged 25 to 34 years,15,White: Gypsy or Irish Traveller,-8,Does not apply,0
K04000001,England and Wales,3,Aged 25 to 34 years,15,White: Gypsy or Irish Traveller,1,Born in the UK,7674
K04000001,England and Wales,3,Aged 25 to 34 years,15,White: Gypsy or Irish Traveller,2,Arrived before 1971,0
K04000001,England and Wales,3,Aged 25 to 34 years,15,White: Gypsy or Irish Traveller,3,Arrived 1971 to 1980,0
K04000001,England and Wales,3,Aged 25 to 34 years,15,White: Gypsy or Irish Traveller,4,Arrived 1981 to 1990,17
K04000001,England and Wales,3,Aged 25 to 34 years,15,White: Gypsy or Irish Traveller,5,Arrived 1991 to 2000,130
K04000001,England and Wales,3,Aged 25 to 34 years,15,White: Gypsy or Irish Traveller,6,Arrived 2001 to 2010,315
K04000001,England and Wales,3,Aged 25 to 34 years,15,White: Gypsy or Irish Traveller,7,Arrived 2011 to 2013,292
K04000001,England and Wales,3,Aged 25 to 34 years,15,White: Gypsy or Irish Traveller,8,Arrived 2014 to 2016,675
K04000001,England and Wales,3,Aged 25 to 34 years,15,White: Gypsy or Irish Traveller,9,Arrived 2017 to 2019,679
K04000001,England and Wales,3,Aged 25 to 34 years,15,White: Gypsy or Irish Traveller,10,Arrived 2020 to 2021,305
K04000001,England and Wales,3,Aged 25 to 34 years,16,White: Roma,-8,Does not apply,0
K04000001,England and Wales,3,Aged 25 to 34 years,16,White: Roma,1,Born in the UK,1128
K04000001,England and Wales,3,Aged 25 to 34 years,16,White: Roma,2,Arrived before 1971,0
K04000001,England and Wales,3,Aged 25 to 34 years,16,White: Roma,3,Arrived 1971 to 1980,0
K04000001,England and Wales,3,Aged 25 to 34 years,16,White: Roma,4,Arrived 1981 to 1990,13
K04000001,England and Wales,3,Aged 25 to 34 years,16,White: Roma,5,Arrived 1991 to 2000,310
K04000001,England and Wales,3,Aged 25 to 34 years,16,White: Roma,6,Arrived 2001 to 2010,1890
K04000001,England and Wales,3,Aged 25 to 34 years,16,White: Roma,7,Arrived 2011 to 2013,3165
K04000001,England and Wales,3,Aged 25 to 34 years,16,White: Roma,8,Arrived 2014 to 2016,9410
K04000001,England and Wales,3,Aged 25 to 34 years,16,White: Roma,9,Arrived 2017 to 2019,10892
K04000001,England and Wales,3,Aged 25 to 34 years,16,White: Roma,10,Arrived 2020 to 2021,3494
K04000001,England and Wales,3,Aged 25 to 34 years,17,White: Other White,-8,Does not apply,0
K04000001,England and Wales,3,Aged 25 to 34 years,17,White: Other White,1,Born in the UK,40010
K04000001,England and Wales,3,Aged 25 to 34 years,17,White: Other White,2,Arrived before 1971,0
K04000001,England and Wales,3,Aged 25 to 34 years,17,White: Other White,3,Arrived 1971 to 1980,0
K04000001,England and Wales,3,Aged 25 to 34 years,17,White: Other White,4,Arrived 1981 to 1990,1472
K04000001,England and Wales,3,Aged 25 to 34 years,17,White: Other White,5,Arrived 1991 to 2000,17847
K04000001,England and Wales,3,Aged 25 to 34 years,17,White: Other White,6,Arrived 2001 to 2010,144306
K04000001,England and Wales,3,Aged 25 to 34 years,17,White: Other White,7,Arrived 2011 to 2013,143124
K04000001,England and Wales,3,Aged 25 to 34 years,17,White: Other White,8,Arrived 2014 to 2016,246186
K04000001,England and Wales,3,Aged 25 to 34 years,17,White: Other White,9,Arrived 2017 to 2019,197823
K04000001,England and Wales,3,Aged 25 to 34 years,17,White: Other White,10,Arrived 2020 to 2021,62534
K04000001,England and Wales,3,Aged 25 to 34 years,18,Other ethnic group: Arab,-8,Does not apply,0
K04000001,England and Wales,3,Aged 25 to 34 years,18,Other ethnic group: Arab,1,Born in the UK,9815
K04000001,England and Wales,3,Aged 25 to 34 years,18,Other ethnic group: Arab,2,Arrived before 1971,0
K04000001,England and Wales,3,Aged 25 to 34 years,18,Other ethnic group: Arab,3,Arrived 1971 to 1980,0
K04000001,England and Wales,3,Aged 25 to 34 years,18,Other ethnic group: Arab,4,Arrived 1981 to 1990,613
K04000001,England and Wales,3,Aged 25 to 34 years,18,Other ethnic group: Arab,5,Arrived 1991 to 2000,4578
K04000001,England and Wales,3,Aged 25 to 34 years,18,Other ethnic group: Arab,6,Arrived 2001 to 2010,7066
K04000001,England and Wales,3,Aged 25 to 34 years,18,Other ethnic group: Arab,7,Arrived 2011 to 2013,4152
K04000001,England and Wales,3,Aged 25 to 34 years,18,Other ethnic group: Arab,8,Arrived 2014 to 2016,8883
K04000001,England and Wales,3,Aged 25 to 34 years,18,Other ethnic group: Arab,9,Arrived 2017 to 2019,13552
K04000001,England and Wales,3,Aged 25 to 34 years,18,Other ethnic group: Arab,10,Arrived 2020 to 2021,7041
K04000001,England and Wales,3,Aged 25 to 34 years,19,Other ethnic group: Any other ethnic group,-8,Does not apply,0
K04000001,England and Wales,3,Aged 25 to 34 years,19,Other ethnic group: Any other ethnic group,1,Born in the UK,35705
K04000001,England and Wales,3,Aged 25 to 34 years,19,Other ethnic group: Any other ethnic group,2,Arrived before 1971,0
K04000001,England and Wales,3,Aged 25 to 34 years,19,Other ethnic group: Any other ethnic group,3,Arrived 1971 to 1980,0
K04000001,England and Wales,3,Aged 25 to 34 years,19,Other ethnic group: Any other ethnic group,4,Arrived 1981 to 1990,1274
K04000001,England and Wales,3,Aged 25 to 34 years,19,Other ethnic group: Any other ethnic group,5,Arrived 1991 to 2000,11034
K04000001,England and Wales,3,Aged 25 to 34 years,19,Other ethnic group: Any other ethnic group,6,Arrived 2001 to 2010,28326
K04000001,England and Wales,3,Aged 25 to 34 years,19,Other ethnic group: Any other ethnic group,7,Arrived 2011 to 2013,13976
K04000001,England and Wales,3,Aged 25 to 34 years,19,Other ethnic group: Any other ethnic group,8,Arrived 2014 to 2016,24702
K04000001,England and Wales,3,Aged 25 to 34 years,19,Other ethnic group: Any other ethnic group,9,Arrived 2017 to 2019,32537
K04000001,England and Wales,3,Aged 25 to 34 years,19,Other ethnic group: Any other ethnic group,10,Arrived 2020 to 2021,12747
K04000001,England and Wales,4,Aged 35 to 49 years,-8,Does not apply,-8,Does not apply,0
K04000001,England and Wales,4,Aged 35 to 49 years,-8,Does not apply,1,Born in the UK,0
K04000001,England and Wales,4,Aged 35 to 49 years,-8,Does not apply,2,Arrived before 1971,0
K04000001,England and Wales,4,Aged 35 to 49 years,-8,Does not apply,3,Arrived 1971 to 1980,0
