 ,England and Wales,Age (6 categories) Code,Age (6 categories),Ethnic group (20 categories) Code,Ethnic group (20 categories),Year of arrival in the UK (11 categories) Code,Year of arrival in the UK (11 categories),Observation
K04000001,England and Wales,1,Aged 15 years and under,5,"Asian, Asian British or Asian Welsh: Other Asian",10,Arrived 2020 to 2021,5710
K04000001,England and Wales,1,Aged 15 years and under,6,"Black, Black British, Black Welsh, Caribbean or African: African",-8,Does not apply,0
K04000001,England and Wales,1,Aged 15 years and under,6,"Black, Black British, Black Welsh, Caribbean or African: African",1,Born in the UK,307396
K04000001,England and Wales,1,Aged 15 years and under,6,"Black, Black British, Black Welsh, Caribbean or African: African",2,Arrived before 1971,0
K04000001,England and Wales,1,Aged 15 years and under,6,"Black, Black British, Black Welsh, Caribbean or African: African",3,Arrived 1971 to 1980,0
K04000001,England and Wales,1,Aged 15 years and under,6,"Black, Black British, Black Welsh, Caribbean or African: African",4,Arrived 1981 to 1990,0
K04000001,England and Wales,1,Aged 15 years and under,6,"Black, Black British, Black Welsh, Caribbean or African: African",5,Arrived 1991 to 2000,0
K04000001,England and Wales,1,Aged 15 years and under,6,"Black, Black British, Black Welsh, Caribbean or African: African",6,Arrived 2001 to 2010,8580
K04000001,England and Wales,1,Aged 15 years and under,6,"Black, Black British, Black Welsh, Caribbean or African: African",7,Arrived 2011 to 2013,10534
K04000001,England and Wales,1,Aged 15 years and under,6,"Black, Black British, Black Welsh, Caribbean or African: African",8,Arrived 2014 to 2016,19668
K04000001,England and Wales,1,Aged 15 years and under,6,"Black, Black British, Black Welsh, Caribbean or African: African",9,Arrived 2017 to 2019,28522
K04000001,England and Wales,1,Aged 15 years and under,6,"Black, Black British, Black Welsh, Caribbean or African: African",10,Arrived 2020 to 2021,12868
K04000001,England and Wales,1,Aged 15 years and under,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",-8,Does not apply,0
K04000001,England and Wales,1,Aged 15 years and under,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",1,Born in the UK,79332
K04000001,England and Wales,1,Aged 15 years and under,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",2,Arrived before 1971,0
K04000001,England and Wales,1,Aged 15 years and under,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",3,Arrived 1971 to 1980,0
K04000001,England and Wales,1,Aged 15 years and under,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",4,Arrived 1981 to 1990,0
K04000001,England and Wales,1,Aged 15 years and under,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",5,Arrived 1991 to 2000,0
K04000001,England and Wales,1,Aged 15 years and under,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",6,Arrived 2001 to 2010,426
K04000001,England and Wales,1,Aged 15 years and under,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",7,Arrived 2011 to 2013,491
K04000001,England and Wales,1,Aged 15 years and under,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",8,Arrived 2014 to 2016,946
K04000001,England and Wales,1,Aged 15 years and under,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",9,Arrived 2017 to 2019,1763
K04000001,England and Wales,1,Aged 15 years and under,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",10,Arrived 2020 to 2021,790
K04000001,England and Wales,1,Aged 15 years and under,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",-8,Does not apply,0
K04000001,England and Wales,1,Aged 15 years and under,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",1,Born in the UK,119456
K04000001,England and Wales,1,Aged 15 years and under,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",2,Arrived before 1971,0
K04000001,England and Wales,1,Aged 15 years and under,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",3,Arrived 1971 to 1980,0
K04000001,England and Wales,1,Aged 15 years and under,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",4,Arrived 1981 to 1990,0
K04000001,England and Wales,1,Aged 15 years and under,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",5,Arrived 1991 to 2000,0
K04000001,England and Wales,1,Aged 15 years and under,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",6,Arrived 2001 to 2010,800
K04000001,England and Wales,1,Aged 15 years and under,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",7,Arrived 2011 to 2013,1054
K04000001,England and Wales,1,Aged 15 years and under,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",8,Arrived 2014 to 2016,1717
K04000001,England and Wales,1,Aged 15 years and under,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",9,Arrived 2017 to 2019,1626
K04000001,England and Wales,1,Aged 15 years and under,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",10,Arrived 2020 to 2021,516
K04000001,England and Wales,1,Aged 15 years and under,9,Mixed or Multiple ethnic groups: White and Asian,-8,Does not apply,0
K04000001,England and Wales,1,Aged 15 years and under,9,Mixed or Multiple ethnic groups: White and Asian,1,Born in the UK,217074
K04000001,England and Wales,1,Aged 15 years and under,9,Mixed or Multiple ethnic groups: White and Asian,2,Arrived before 1971,0
K04000001,England and Wales,1,Aged 15 years and under,9,Mixed or Multiple ethnic groups: White and Asian,3,Arrived 1971 to 1980,0
K04000001,England and Wales,1,Aged 15 years and under,9,Mixed or Multiple ethnic groups: White and Asian,4,Arrived 1981 to 1990,0
K04000001,England and Wales,1,Aged 15 years and under,9,Mixed or Multiple ethnic groups: White and Asian,5,Arrived 1991 to 2000,0
K04000001,England and Wales,1,Aged 15 years and under,9,Mixed or Multiple ethnic groups: White and Asian,6,Arrived 2001 to 2010,2445
K04000001,England and Wales,1,Aged 15 years and under,9,Mixed or Multiple ethnic groups: White and Asian,7,Arrived 2011 to 2013,2608
K04000001,England and Wales,1,Aged 15 years and under,9,Mixed or Multiple ethnic groups: White and Asian,8,Arrived 2014 to 2016,4527
K04000001,England and Wales,1,Aged 15 years and under,9,Mixed or Multiple ethnic groups: White and Asian,9,Arrived 2017 to 2019,6024
K04000001,England and Wales,1,Aged 15 years and under,9,Mixed or Multiple ethnic groups: White and Asian,10,Arrived 2020 to 2021,2349
K04000001,England and Wales,1,Aged 15 years and under,10,Mixed or Multiple ethnic groups: White and Black African,-8,Does not apply,0
K04000001,England and Wales,1,Aged 15 years and under,10,Mixed or Multiple ethnic groups: White and Black African,1,Born in the UK,110192
K04000001,England and Wales,1,Aged 15 years and under,10,Mixed or Multiple ethnic groups: White and Black African,2,Arrived before 1971,0
K04000001,England and Wales,1,Aged 15 years and under,10,Mixed or Multiple ethnic groups: White and Black African,3,Arrived 1971 to 1980,0
K04000001,England and Wales,1,Aged 15 years and under,10,Mixed or Multiple ethnic groups: White and Black African,4,Arrived 1981 to 1990,0
K04000001,England and Wales,1,Aged 15 years and under,10,Mixed or Multiple ethnic groups: White and Black African,5,Arrived 1991 to 2000,0
K04000001,England and Wales,1,Aged 15 years and under,10,Mixed or Multiple ethnic groups: White and Black African,6,Arrived 2001 to 2010,1315
K04000001,England and Wales,1,Aged 15 years and under,10,Mixed or Multiple ethnic groups: White and Black African,7,Arrived 2011 to 2013,1819
K04000001,England and Wales,1,Aged 15 years and under,10,Mixed or Multiple ethnic groups: White and Black African,8,Arrived 2014 to 2016,2795
K04000001,England and Wales,1,Aged 15 years and under,10,Mixed or Multiple ethnic groups: White and Black African,9,Arrived 2017 to 2019,3572
K04000001,England and Wales,1,Aged 15 years and under,10,Mixed or Multiple ethnic groups: White and Black African,10,Arrived 2020 to 2021,1620
K04000001,England and Wales,1,Aged 15 years and under,11,Mixed or Multiple ethnic groups: White and Black Caribbean,-8,Does not apply,0
K04000001,England and Wales,1,Aged 15 years and under,11,Mixed or Multiple ethnic groups: White and Black Caribbean,1,Born in the UK,206390
K04000001,England and Wales,1,Aged 15 years and under,11,Mixed or Multiple ethnic groups: White and Black Caribbean,2,Arrived before 1971,0
K04000001,England and Wales,1,Aged 15 years and under,11,Mixed or Multiple ethnic groups: White and Black Caribbean,3,Arrived 1971 to 1980,0
K04000001,England and Wales,1,Aged 15 years and under,11,Mixed or Multiple ethnic groups: White and Black Caribbean,4,Arrived 1981 to 1990,0
K04000001,England and Wales,1,Aged 15 years and under,11,Mixed or Multiple ethnic groups: White and Black Caribbean,5,Arrived 1991 to 2000,0
K04000001,England and Wales,1,Aged 15 years and under,11,Mixed or Multiple ethnic groups: White and Black Caribbean,6,Arrived 2001 to 2010,416
K04000001,England and Wales,1,Aged 15 years and under,11,Mixed or Multiple ethnic groups: White and Black Caribbean,7,Arrived 2011 to 2013,545
K04000001,England and Wales,1,Aged 15 years and under,11,Mixed or Multiple ethnic groups: White and Black Caribbean,8,Arrived 2014 to 2016,1030
K04000001,England and Wales,1,Aged 15 years and under,11,Mixed or Multiple ethnic groups: White and Black Caribbean,9,Arrived 2017 to 2019,1757
K04000001,England and Wales,1,Aged 15 years and under,11,Mixed or Multiple ethnic groups: White and Black Caribbean,10,Arrived 2020 to 2021,696
K04000001,England and Wales,1,Aged 15 years and under,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,-8,Does not apply,0
K04000001,England and Wales,1,Aged 15 years and under,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,1,Born in the UK,168687
K04000001,England and Wales,1,Aged 15 years and under,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,2,Arrived before 1971,0
K04000001,England and Wales,1,Aged 15 years and under,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,3,Arrived 1971 to 1980,0
K04000001,England and Wales,1,Aged 15 years and under,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,4,Arrived 1981 to 1990,0
K04000001,England and Wales,1,Aged 15 years and under,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,5,Arrived 1991 to 2000,0
K04000001,England and Wales,1,Aged 15 years and under,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,6,Arrived 2001 to 2010,1893
K04000001,England and Wales,1,Aged 15 years and under,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,7,Arrived 2011 to 2013,2226
K04000001,England and Wales,1,Aged 15 years and under,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,8,Arrived 2014 to 2016,3585
K04000001,England and Wales,1,Aged 15 years and under,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,9,Arrived 2017 to 2019,5403
K04000001,England and Wales,1,Aged 15 years and under,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,10,Arrived 2020 to 2021,2275
K04000001,England and Wales,1,Aged 15 years and under,13,"White: English, Welsh, Scottish, Northern Irish or British",-8,Does not apply,0
K04000001,England and Wales,1,Aged 15 years and under,13,"White: English, Welsh, Scottish, Northern Irish or British",1,Born in the UK,7375680
K04000001,England and Wales,1,Aged 15 years and under,13,"White: English, Welsh, Scottish, Northern Irish or British",2,Arrived before 1971,0
K04000001,England and Wales,1,Aged 15 years and under,13,"White: English, Welsh, Scottish, Northern Irish or British",3,Arrived 1971 to 1980,0
K04000001,England and Wales,1,Aged 15 years and under,13,"White: English, Welsh, Scottish, Northern Irish or British",4,Arrived 1981 to 1990,0
K04000001,England and Wales,1,Aged 15 years and under,13,"White: English, Welsh, Scottish, Northern Irish or British",5,Arrived 1991 to 2000,0
K04000001,England and Wales,1,Aged 15 years and under,13,"White: English, Welsh, Scottish, Northern Irish or British",6,Arrived 2001 to 2010,17600
K04000001,England and Wales,1,Aged 15 years and under,13,"White: English, Welsh, Scottish, Northern Irish or British",7,Arrived 2011 to 2013,16960
K04000001,England and Wales,1,Aged 15 years and under,13,"White: English, Welsh, Scottish, Northern Irish or British",8,Arrived 2014 to 2016,22443
K04000001,England and Wales,1,Aged 15 years and under,13,"White: English, Welsh, Scottish, Northern Irish or British",9,Arrived 2017 to 2019,24558
K04000001,England and Wales,1,Aged 15 years and under,13,"White: English, Welsh, Scottish, Northern Irish or British",10,Arrived 2020 to 2021,9090
K04000001,England and Wales,1,Aged 15 years and under,14,White: Irish,-8,Does not apply,0
K04000001,England and Wales,1,Aged 15 years and under,14,White: Irish,1,Born in the UK,21144
K04000001,England and Wales,1,Aged 15 years and under,14,White: Irish,2,Arrived before 1971,0
K04000001,England and Wales,1,Aged 15 years and under,14,White: Irish,3,Arrived 1971 to 1980,0
K04000001,England and Wales,1,Aged 15 years and under,14,White: Irish,4,Arrived 1981 to 1990,0
K04000001,England and Wales,1,Aged 15 years and under,14,White: Irish,5,Arrived 1991 to 2000,0
K04000001,England and Wales,1,Aged 15 years and under,14,White: Irish,6,Arrived 2001 to 2010,777
K04000001,England and Wales,1,Aged 15 years and under,14,White: Irish,7,Arrived 2011 to 2013,1051
K04000001,England and Wales,1,Aged 15 years and under,14,White: Irish,8,Arrived 2014 to 2016,1284
K04000001,England and Wales,1,Aged 15 years and under,14,White: Irish,9,Arrived 2017 to 2019,1188
K04000001,England and Wales,1,Aged 15 years and under,14,White: Irish,10,Arrived 2020 to 2021,448
K04000001,England and Wales,1,Aged 15 years and under,15,White: Gypsy or Irish Traveller,-8,Does not apply,0
K04000001,England and Wales,1,Aged 15 years and under,15,White: Gypsy or Irish Traveller,1,Born in the UK,18530
K04000001,England and Wales,1,Aged 15 years and under,15,White: Gypsy or Irish Traveller,2,Arrived before 1971,0
K04000001,England and Wales,1,Aged 15 years and under,15,White: Gypsy or Irish Traveller,3,Arrived 1971 to 1980,0
K04000001,England and Wales,1,Aged 15 years and under,15,White: Gypsy or Irish Traveller,4,Arrived 1981 to 1990,0
K04000001,England and Wales,1,Aged 15 years and under,15,White: Gypsy or Irish Traveller,5,Arrived 1991 to 2000,0
K04000001,England and Wales,1,Aged 15 years and under,15,White: Gypsy or Irish Traveller,6,Arrived 2001 to 2010,216
K04000001,England and Wales,1,Aged 15 years and under,15,White: Gypsy or Irish Traveller,7,Arrived 2011 to 2013,292
K04000001,England and Wales,1,Aged 15 years and under,15,White: Gypsy or Irish Traveller,8,Arrived 2014 to 2016,591
K04000001,England and Wales,1,Aged 15 years and under,15,White: Gypsy or Irish Traveller,9,Arrived 2017 to 2019,694
K04000001,England and Wales,1,Aged 15 years and under,15,White: Gypsy or Irish Traveller,10,Arrived 2020 to 2021,314
K04000001,England and Wales,1,Aged 15 years and under,16,White: Roma,-8,Does not apply,0
K04000001,England and Wales,1,Aged 15 years and under,16,White: Roma,1,Born in the UK,8425
K04000001,England and Wales,1,Aged 15 years and under,16,White: Roma,2,Arrived before 1971,0
K04000001,England and Wales,1,Aged 15 years and under,16,White: Roma,3,Arrived 1971 to 1980,0
K04000001,England and Wales,1,Aged 15 years and under,16,White: Roma,4,Arrived 1981 to 1990,0
K04000001,England and Wales,1,Aged 15 years and under,16,White: Roma,5,Arrived 1991 to 2000,0
K04000001,England and Wales,1,Aged 15 years and under,16,White: Roma,6,Arrived 2001 to 2010,702
K04000001,England and Wales,1,Aged 15 years and under,16,White: Roma,7,Arrived 2011 to 2013,1143
K04000001,England and Wales,1,Aged 15 years and under,16,White: Roma,8,Arrived 2014 to 2016,2411
K04000001,England and Wales,1,Aged 15 years and under,16,White: Roma,9,Arrived 2017 to 2019,3726
K04000001,England and Wales,1,Aged 15 years and under,16,White: Roma,10,Arrived 2020 to 2021,1516
K04000001,England and Wales,1,Aged 15 years and under,17,White: Other White,-8,Does not apply,0
K04000001,England and Wales,1,Aged 15 years and under,17,White: Other White,1,Born in the UK,355555
K04000001,England and Wales,1,Aged 15 years and under,17,White: Other White,2,Arrived before 1971,0
K04000001,England and Wales,1,Aged 15 years and under,17,White: Other White,3,Arrived 1971 to 1980,0
K04000001,England and Wales,1,Aged 15 years and under,17,White: Other White,4,Arrived 1981 to 1990,0
K04000001,England and Wales,1,Aged 15 years and under,17,White: Other White,5,Arrived 1991 to 2000,0
K04000001,England and Wales,1,Aged 15 years and under,17,White: Other White,6,Arrived 2001 to 2010,24279
K04000001,England and Wales,1,Aged 15 years and under,17,White: Other White,7,Arrived 2011 to 2013,33309
